id;codigo;denominacion;planificacion;tipo;region_codigo;region_nombre;comunas;comunas_codigos;clasificacion;estado;fechaInicioVigencia;fechaPublicacion;urlPublicacion;modificacionLimiteUrbano;evaluacionAmbientalEstrategica;fechaInicioEae;fechaTerminoEae;consultaIndigena;numeroDocumento;fechaInicioElaboracion;modificacionIntegral;instrumento_origen_id;es_modificacion;codigos_modificaciones;urls_documentos;tipos_documentos;nombres_documentos;fuente;createdAt;updatedAt
567;504259;Plan Regulador Comunal de Quillota;Comunal;PRC;05;05;QUILLOTA;05501;Instrumento de origen;Vigente;1947-12-10;;https://www.portaltransparencia.cl/PortalPdT/directorio-de-organismos-regulados/?org=MU253;True;False;;;False;Sin información;;False;567;False;501891, 501893, 501894, 501895, 501896, 504076;;;;Plataforma Web;2025-08-01T17:57:15.081-04:00;2025-11-07T16:14:11.921-03:00
547;504076;Actualización Plan Regulador Comunal de Quillota;Comunal;PRC;05;05;QUILLOTA;05501;Modificación;En Desarrollo;;;;True;True;;;False;No aplica;2025-08-13;False;567;True;;;;;Plataforma Web;2025-08-01T17:57:13.766-04:00;2025-08-13T13:23:39.869-04:00
391;501891;MODIFICA PLAN REGULADOR COMUNAL DE QUILLOTA;Comunal;PRC;05;05;QUILLOTA;05501;Modificación;Vigente;1964-04-15;;;;;;;;19;;False;567;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1891/4.19a64e.05501.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/1891/4.19a64p1.05501.jpg | https://instrumentosdeplanificacion.minvu.cl/files/maps/1891/4.19a64p2.05501.jpg;Estudio | Plano | Plano;Antecedentes del Plan Regulador Comunal de Quillota | Plano Decreto N°19 - Lámina 1A | Plano Decreto N°19 - Lámina 1B;Planilla;2025-08-01T17:57:02.474-04:00;2025-08-01T17:57:02.474-04:00
393;501893;APRUEBA MODIFICACIÓN DEL PLAN REGULADOR COMUNAL DE QUILLOTA Y DE SU CORRESPONDIENTE ORDENANZA LOCAL EN EL SENTIDO DE READECUAR EL DESTINO DE USO DE SUELO EN LA FORMA QUE SEÑALA EN EL PLANO QUE SE APRUEBA;Comunal;PRC;05;05;QUILLOTA;05501;Modificación;Vigente;1978-01-23;;;;;;;;1298;;False;567;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1893/4.1298a77c.05501.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/1893/4.1298a77p.05501.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. con Ordenanza | Plano Decreto N°1298 - Lámina Zonificación;Planilla;2025-08-01T17:57:02.675-04:00;2025-08-01T17:57:02.675-04:00
394;501894;MODIFICA PLAN REGULADOR COMUNAL DE QUILLOTA EN CONFORMIDAD AL PLAN SECCIONAL DE VIALIDAD URBANA SECTOR CENTRO COMUNAL;Comunal;PRC;05;05;QUILLOTA;05501;Modificación;Vigente;1980-02-26;;;;;;;;28;;False;567;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1894/4.28a80c.05501.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/1894/4.28a80p.05501.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. con Ordenanza | Plano Decreto N°28 - Lámina Zonificación;Planilla;2025-08-01T17:57:02.681-04:00;2025-08-01T17:57:02.681-04:00
395;501895;APRUEBA MODIFICACIÓN AL PLAN REGULADOR COMUNAL DE QUILLOTA;Comunal;PRC;05;05;QUILLOTA;05501;Modificación;Vigente;1991-05-23;;;;;;;;8;;False;567;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1895/4.8a90c.05501.pdf;Publicación D. O. con Ordenanza;Publicación D.O. con Ordenanza;Planilla;2025-08-01T17:57:02.779-04:00;2025-08-01T17:57:02.779-04:00
396;501896;PROMULGA MODIFICACIÓN AL PLAN REGULADOR COMUNAL DE QUILLOTA - SECTOR ORIENTE;Comunal;PRC;05;05;QUILLOTA;05501;Modificación;Vigente;2000-07-12;;;;;;;;31-4-063;;False;567;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1896/4.31-4-063b00c.05501.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/1896/4.31-4-063b00p.05501.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. con Ordenanza | Decreto N°31-4/063 - Lámina Zonificación;Planilla;2025-08-01T17:57:02.884-04:00;2025-08-01T17:57:02.884-04:00
2740;;interpretación_PRC_QUILLOTA_LIMITE URBANO_2024.pdf;Comunal;PRC;05;05;QUILLOTA;05501;Interpretación;Vigente;2024-01-29;;https://www.minvu.gob.cl/elementos-tecnicos/planes-reguladores-2023/region-de-valparaiso/;False;False;;;False;;;False;567;True;;;;;Plataforma Web;2025-10-22T10:04:50.602-03:00;2025-10-22T10:04:50.602-03:00
2680;;interpretación_PRC_QUILLOTA_LIMITE URBANO_2025;Comunal;PRC;05;05;QUILLOTA;05501;Interpretación;Vigente;2025-02-26;;https://www.minvu.gob.cl/elementos-tecnicos/planes-reguladores-2023/region-de-valparaiso/;False;False;;;False;;;False;567;True;;;;;Plataforma Web;2025-10-17T16:17:31.143-03:00;2025-10-17T16:17:31.143-03:00
2350;1304288;Plan Regulador Comunal de San Miguel para PAC;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Instrumento de origen;Vigente;1951-06-16;;;;;;;;Sin información;;False;2350;False;1304097, 1300445, 1300410, 1300478, 1300417, 1300415, 1300416;;;;Planilla;2025-08-01T17:59:29.082-04:00;2025-08-01T17:59:29.082-04:00
1713;1300410;PRC de San Miguel - Multicentro;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Modificación;Vigente;1994-02-17;;;;;;;;142;;False;2350;True;1304097;https://instrumentosdeplanificacion.minvu.cl/files/maps/410/4.142a93b.13121.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/410/4.142a93p.13121.jpg;Publicación D. O. | Plano;Publicación D.O. | Plano Decreto N°142 - Lámina Zonificación;Planilla;2025-08-01T17:58:42.511-04:00;2025-08-01T17:58:42.511-04:00
1746;1300445;MODIFICA PLAN REGULADOR COMUNAL DE SAN MIGUEL EN CONFORMIDAD SECCIONAL PEDRO AGUIRRE CERDA;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Modificación;Vigente;1988-11-11;;;;;;;;166;;False;2350;True;1304097;https://instrumentosdeplanificacion.minvu.cl/files/maps/445/4.166a88c.13121.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/445/4.166a88p.13121.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. y ordenanza | Plano Decreto N°166 - Lámina Zonificación;Planilla;2025-08-01T17:58:45.021-04:00;2025-08-01T17:58:45.021-04:00
2322;1304097;Plan Regulador Comunal de Pedro Aguirre Cerda;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Instrumento de origen;Vigente;2025-08-26;;https://prcpac.cl/aprobado-prc;True;True;2021-08-13;2025-07-07;False;No aplica;2025-08-12;True;2350;True;;;;;Plataforma Web;2025-08-01T17:59:27.416-04:00;2026-02-02T16:45:31.794-03:00
1779;1300478;PRC de San Miguel - Modif. Usos de suelo en P.S. Hospital sur poniente;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Modificación;Vigente;1999-01-11;;;;;;;;189;;False;2350;True;1304097;https://instrumentosdeplanificacion.minvu.cl/files/maps/478/4.189a98b.13121.pdf;Publicación D. O.;Publicación D.O.;Planilla;2025-08-01T17:58:47.413-04:00;2025-08-01T17:58:47.413-04:00
1718;1300415;MUNICIPALIDAD DE PEDRO AGUIRRE CERDA MODIFICA ORDENANZA DEL PLAN REGULADOR COMUNAL DE SAN MIGUEL;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Modificación;Vigente;2018-11-10;;;;;;;;14528;;False;2350;True;1304097;https://instrumentosdeplanificacion.minvu.cl/files/maps/415/4.14528b18b.13121.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/415/4.14528b18b.13130.pdf;Publicación D. O. | Publicación D. O.;Publicación D.O. | Publicación D.O.;Planilla;2025-08-01T17:58:43.017-04:00;2025-08-01T17:58:43.017-04:00
1719;1300416;MUNICIPALIDAD DE PEDRO AGUIRRE CERDA MODIFICA ORDENANZA DE PLAN REGULADOR COMUNAL DE SANTIAGO;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Modificación;Vigente;2018-11-10;;;;;;;;14529;;False;2350;True;1304097;https://instrumentosdeplanificacion.minvu.cl/files/maps/416/4.14529b18b.13121.pdf;Publicación D. O.;Publicación D.O.;Planilla;2025-08-01T17:58:43.117-04:00;2025-08-01T17:58:43.117-04:00
1720;1300417;MUNICIPALIDAD DE PEDRO AGUIRRE CERDA MODIFICA ORDENANZA DEL PLAN REGULADOR COMUNAL DE LA CISTERNA;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;PEDRO AGUIRRE CERDA;13121;Modificación;Vigente;2018-11-10;;;;;;;;14530;;False;2350;True;1304097;https://instrumentosdeplanificacion.minvu.cl/files/maps/417/4.14530b18b.13121.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/417/4.14530b18c.13109.pdf;Publicación D. O. | Publicación D. O. con Ordenanza;Publicación D.O. | Publicación D.O y Ordenanza;Planilla;2025-08-01T17:58:43.176-04:00;2025-08-01T17:58:43.176-04:00
1722;1300419;Plan Regulador Comunal de La Granja para La Pintana;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;LA PINTANA;13112;Instrumento de origen;Vigente;1952-10-22;;;;;;;;1469;;False;1722;False;1300365, 1300364, 1300366, 1300367;https://instrumentosdeplanificacion.minvu.cl/files/maps/419/4.1469a52a.13112.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/419/4.1469a52c.13112.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/419/4.1469a52d.13112.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/419/4.1469a52p.13112.pdf;Ordenanza | Publicación D. O. con Ordenanza | Decreto | Plano;Ordenanza | Publicación D.O y Ordenanza | Decreto N° 1469 | Plano Decreto N°1469;Planilla;2025-08-01T17:58:43.314-04:00;2025-08-01T17:58:43.314-04:00
1668;1300364;Asigna normas urbanísticas a DUP caduca en Parque Santa Rosa, La Pintana;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;LA PINTANA;13112;Modificación;Vigente;2011-05-06;;;;;;;;1208-16-271;;False;1722;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/364/4.1208-16-271b11c.13112.pdf;Publicación D. O. con Ordenanza;Publicación D.O y Ordenanza;Planilla;2025-08-01T17:58:38.868-04:00;2025-08-01T17:58:38.868-04:00
2628;;Plan Regulador Comunal de La Pintana;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;LA PINTANA;13112;Instrumento de origen;En Desarrollo;;;;False;True;2025-01-20;;False;;2026-03-04;False;1722;True;;;;;Plataforma Web;2025-08-12T12:42:47.815-04:00;2026-03-04T12:09:03.551-03:00
1669;1300365;ASIGNA NORMAS URBANÍSTICAS A TERRENOS QUE SE INDICAN, DE ACUERDO AL ARTÍCULO 59° DE LA LEY GENERAL DE URBANISMO Y CONSTRUCCIONES;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;LA PINTANA;13112;Modificación;Vigente;2011-05-06;;;;;;;;1208-18-302;;False;1722;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/365/4.1208-18-302b11c.13112.pdf;Publicación D. O. con Ordenanza;Publicación D.O y Ordenanza;Planilla;2025-08-01T17:58:38.976-04:00;2025-08-01T17:58:38.976-04:00
1670;1300366;Asigna normas urbanísticas a DUP caduca en Parques El Roble y El Esfuerzo, La Pintana;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;LA PINTANA;13112;Modificación;Vigente;2011-09-26;;;;;;;;1208-77-967;;False;1722;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/366/4.1208-77-967b11c.13112.pdf;Publicación D. O. con Ordenanza;Publicación D.O y Ordenanza;Planilla;2025-08-01T17:58:39.022-04:00;2025-08-01T17:58:39.022-04:00
1671;1300367;"ASIGNA NORMAS URBANISTICAS A TERRENOS DEL ""SECTOR LA PLATINA"" QUE SE INDICAN, DE ACUERDO AL ART. 59° DE LA LEY GENERAL DE URBANISMO Y CONSTRUCCIONES";Comunal;PRC;13;METROPOLITANA DE SANTIAGO;LA PINTANA;13112;Modificación;Vigente;2012-11-24;;;;;;;;1208-98-1471;;False;1722;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/367/4.1208-98-1471b12c.13112.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/367/4.1208-98-1471b12p.13112.PDF;Publicación D. O. con Ordenanza | Plano;Publicación D.O y Ordenanza | Plano Decreto N° 1208-98-1471;Planilla;2025-08-01T17:58:39.117-04:00;2025-08-01T17:58:39.117-04:00
2355;1304293;Plan Regulador Comunal de La Granja para San Ramón;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;SAN RAMON;13131;Instrumento de origen;Vigente;1952-10-22;;;;;;;;Sin información;;False;2355;False;1304103;;;;Planilla;2025-08-01T17:59:29.328-04:00;2025-08-01T17:59:29.328-04:00
2328;1304103;Plan Seccional Zona de Remodelación Sector La Bombonera;Comunal;PS;13;METROPOLITANA DE SANTIAGO;SAN RAMON;13131;Modificación;En Desarrollo;;;;False;True;2024-05-14;;False;No aplica;2026-03-04;False;2355;True;;;;;Plataforma Web;2025-08-01T17:59:27.773-04:00;2026-03-04T16:48:27.259-03:00
1107;902774;Plan Regulador Comunal de Puerto Saavedra;Comunal;PRC;09;09;SAAVEDRA;09116;Instrumento de origen;Vigente;1964-01-06;;;;;;;;1749;;False;1107;False;904149;https://instrumentosdeplanificacion.minvu.cl/files/maps/2774/4.1749a63c.09116.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/2774/4.1749a63p.09116.jpg | https://instrumentosdeplanificacion.minvu.cl/files/maps/2774/4.1749a63d1.09116.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/2774/4.1749a63d2.09116.pdf;Publicación D. O. con Ordenanza | Plano | Decreto | Decreto;Publicación D.O. con Ordenanza  - Decreto N° 1749 | Plano  - Decreto N° 1749 | Decreto 1 - Decreto N° 1749 | Decreto 2 - Decreto N° 1749;Planilla;2025-08-01T17:57:56.328-04:00;2025-08-01T17:57:56.328-04:00
1177;904149;Modificación PRC de Purto Saavedra;Comunal;PRC;09;09;SAAVEDRA;09116;Modificación;Desistido;;;;False;False;;;False;No aplica;;False;1107;True;;;;;Plataforma Web;2025-08-01T17:58:01.571-04:00;2025-08-13T15:24:00.632-04:00
2348;1304286;Plan Regulador Comunal de Maipú;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;CERRILLOS;13102;Instrumento de origen;Vigente;1965-09-20;;;;;;;;Sin información;;False;2348;False;1304106;;;;Planilla;2025-08-01T17:59:29.021-04:00;2025-08-01T17:59:29.021-04:00
2359;1304297;Plan Regulador Comunal de Maipú;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Instrumento de origen;Vigente;1965-09-28;;;;;;;;Sin información;;False;2359;False;1300916, 1300983, 1300989, 1301012, 1300905, 1300917, 1300893;;;;Planilla;2025-08-01T17:59:29.616-04:00;2025-08-01T17:59:29.616-04:00
2181;1300905;PRC de Maipú Cambio uso de suelo en Av. Las Parcelas N°4640;Comunal;PS;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;2012-11-23;;;;;;;;1131;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/905/5.1131b12c.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/905/5.1131b12p.13106.pdf;Publicación D. O. con Ordenanza | Plano;Publicación D.O y Ordenanza | Plano decreto N° 1131;Planilla;2025-08-01T17:59:17.276-04:00;2025-08-01T17:59:17.276-04:00
2280;1301012;PRC de Maipú - Modif. Cambio de Zonificación Av. Los Pajaritos N°6586;Comunal;PS;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;2005-01-10;;;;;;;;950;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1012/5.950b04b.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/1012/5.950b04c.13106.pdf;Publicación D. O. | Publicación D. O. con Ordenanza;Publicación D.O | Publicación D.O. con Ordenanza Resolución N°950 que aprueba Plano Seccional sector Avennida Pajaritos;Planilla;2025-08-01T17:59:25.173-04:00;2025-08-01T17:59:25.173-04:00
2252;1300983;PRC de Maipú - Plan Seccional Santa Corina 2;Comunal;PS;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;1990-10-17;;;;;;;;61;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/983/5.61a90c.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/983/5.61a90p.13106.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O y Ordenanza - Modificación Plan Seccional Santa Corina | Plano-Modificación Plan Seccional Santa Corina;Planilla;2025-08-01T17:59:22.317-04:00;2025-08-01T17:59:22.317-04:00
2190;1300916;PRC de Maipú - Modif. Padres Carmelitas y Desafectación BNUP;Comunal;PS;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;1988-09-22;;;;;;;;148;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/916/5.148a88b.13106.pdf;Publicación D. O.;Publicación D.O;Planilla;2025-08-01T17:59:17.863-04:00;2025-08-01T17:59:17.863-04:00
2191;1300917;Plan Regulador Comunal de Maipú_Seccional Padres Carmelitas;Comunal;PS;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;;;;;;;;;148;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/917/5.148a88p.13106.jpg;Plano;Plano decreto N°148;Planilla;2025-08-01T17:59:17.973-04:00;2025-08-01T17:59:17.973-04:00
2258;1300989;PRC de Maipú - Seccional Padre Carmelitas;Comunal;PS;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Modificación;Vigente;1991-06-19;;;;;;;;67;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/989/5.67a91b.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/989/5.67a91p.13106.jpg;Publicación D. O. | Plano;Publicación D.O | Plano decreto N°67;Planilla;2025-08-01T17:59:22.918-04:00;2025-08-01T17:59:22.918-04:00
2169;1300893;Plano Seccional Villa Alessandri;Comunal;PRC;13;METROPOLITANA DE SANTIAGO;ESTACION CENTRAL;13106;Plano de detalle;Vigente;2009-06-08;;;;;;;;289;;False;2359;True;;https://instrumentosdeplanificacion.minvu.cl/files/maps/893/4.b09p.13106.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/893/4.b09x.13106.pdf;Plano | Otro no especificado;Plano Decreto Alcaldicio N°289 que Promulga Acuerdo N°036 del Consejo Municipal del 2019 | Otro no especificado Decreto Alcaldicio N°289 que Promulga Acuerdo N°036 del Consejo Municipal del 2019;Planilla;2025-08-01T17:59:16.311-04:00;2025-08-01T17:59:16.311-04:00
1074;902739;Plan Regulador Comunal de Freire;Comunal;PRC;09;09;FREIRE;09105;Instrumento de origen;Vigente;1966-10-18;;;;;;;;540;;False;1074;False;904140;https://instrumentosdeplanificacion.minvu.cl/files/maps/2739/4.540a66c.09105.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/2739/4.540a66p.09105.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. con Ordenanza  - Decreto N° 540 | Plano  - Decreto N° 540;Planilla;2025-08-01T17:57:53.400-04:00;2025-08-01T17:57:53.400-04:00
1168;904140;Actualización PRC (Considera localidades de Freire, Quepe y Radal);Comunal;PRC;09;09;FREIRE;09105;Modificación;En Desarrollo;;;;False;False;;;False;No aplica;2025-08-12;False;1074;True;;;;;Plataforma Web;2025-08-01T17:58:00.871-04:00;2025-08-12T16:07:39.152-04:00
1042;902707;Aprueba Plano Regulador, ordenanza local y límite urbano de Cajón.;Comunal;PRC;09;09;TEMUCO, VILCUN;09101, 09119;Instrumento de origen;Vigente;1966-10-18;;;;;;;;540;;False;1042;False;904147;https://instrumentosdeplanificacion.minvu.cl/files/maps/2707/6.540a66c.09101.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/2707/6.540a66p.09101.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. con Ordenanza  - Decreto N° 540 | Plano  - Decreto N° 540;Planilla;2025-08-01T17:57:51.175-04:00;2025-08-01T17:57:51.175-04:00
1175;904147;PRC Vilcún;Comunal;PRC;09;09;VILCUN;09119;Modificación;En Desarrollo;;;;False;False;;;False;No aplica;2025-08-12;False;1042;True;;;;;Plataforma Web;2025-08-01T17:58:01.476-04:00;2025-08-12T11:59:02.248-04:00
1234;1001653;Plan Regulador Comunal de Río Negro;Comunal;PRC;10;LOS LAGOS;RIO NEGRO;10305;Instrumento de origen;Vigente;1966-11-04;;;;;;;;1;;False;1234;False;;https://instrumentosdeplanificacion.minvu.cl/files/maps/1653/4.433a64c.10305.pdf | https://instrumentosdeplanificacion.minvu.cl/files/maps/1653/4.433a64p.10305.jpg;Publicación D. O. con Ordenanza | Plano;Publicación D.O. y Ordenanza Decreto N°433 del Plan Regulador Urbano de la comuna de Río Negro | Plano Decreto N°433 del Plan Regulador Urbano de la comuna de Río Negro;Planilla;2025-08-01T17:58:05.687-04:00;2025-08-01T17:58:05.687-04:00
